,Title,Genre,Tags,Languages,Series or Movie,Hidden Gem Score,Country Availability,Runtime,Director,Actors,IMDb Score,Rotten Tomatoes Score,Metacritic Score,Awards Received,Boxoffice,Release Date,Summary,IMDb Votes
15029,The Skin I Live In,"Drama, Horror, Thriller","Thrillers,Spanish Films,International Movies,Psychological Thrillers,Independent Movies,Movies Based on Books,Dramas",Spanish,Movie,3.8,"Switzerland,Germany,Greece,Spain",> 2 hrs,Pedro Almodóvar,"Elena Anaya, Jan Cornet, Antonio Banderas, Marisa Paredes",7.6,81.0,70.0,28.0,"$3,185,812",02 Sep 2011,A plastic surgeon seeks to overcome the grief of his late wifes disfigurement in a fiery car crash by inventing skin thats impervious to injury.,139731.0
15033,Made of Honour,"Comedy, Romance","Romantic Comedies,Comedies,Romantic Films,Romantic Favourites",English,Movie,1.9,"India,Switzerland,Mexico,Brazil,Italy,Argentina,Colombia",1-2 hour,Paul Weiland,"Kadeem Hardison, Michelle Monaghan, Patrick Dempsey, Kevin McKidd",5.9,15.0,37.0,1.0,"$46,012,734",02 May 2008,"Suddenly realizing he loves his platonic best friend, a perennial skirt-chaser uses his role as her maid of honor to unravel her marriage plans.",68000.0
15035,Hancock,"Action, Drama, Fantasy","Action Thrillers,Comic Book and Superhero Films,Action Comedies,Comedies,Action & Adventure,Dark Comedies,Blockbuster Action & Adventure,US Movies","English, Japanese, Vietnamese",Movie,2.6,"France,South Korea,Portugal,Belgium,Japan,Iceland,Switzerland,Hong Kong,Canada,Thailand,Netherlands,Spain,Germany,Israel,Italy,Singapore,Malaysia,Turkey,India",1-2 hour,Peter Berg,"Jason Bateman, Will Smith, Charlize Theron, Jae Head",6.4,41.0,49.0,4.0,"$227,946,274",02 Jul 2008,"Will Smith stars as Hancock, a down-and-out superhero whos forced to employ a public relations expert to help repair his image.",445439.0
15036,Hanna,"Action, Adventure, Drama, Thriller","Action Thrillers,Spy Action & Adventure,Action & Adventure,Crime Action & Adventure,Action","English, French, German, Italian, Arabic, Spanish",Movie,3.4,"Switzerland,Italy,Turkey,Thailand,Singapore,Malaysia,Hong Kong",1-2 hour,Joe Wright,"Saoirse Ronan, Cate Blanchett, Vicky Krieps, Eric Bana",6.8,71.0,65.0,8.0,"$40,259,119",08 Apr 2011,"Raised in isolation and trained as an assassin, teen Hanna longs for a normal life, but when she comes out of hiding she becomes targeted by the CIA.",190386.0
15037,Monster House,"Animation, Comedy, Family, Fantasy, Mystery","Family Features,Family Feature Animation,Family Comedies,Family Adventures,Children & Family Films,Comedies,Mysteries,Family Sci-Fi & Fantasy",English,Movie,3.5,"France,South Korea,Czech Republic,Hungary,Lithuania,Romania,Portugal,Switzerland,Belgium,South Africa,Canada,United Kingdom,United States,Germany,Netherlands,Spain,Israel,Poland,Turkey,Greece,India,Australia",1-2 hour,Gil Kenan,"Catherine O'Hara, Mitchel Musso, Steve Buscemi, Ryan Whitney",6.6,75.0,68.0,4.0,"$73,661,010",21 Jul 2006,Three friends uncover the truth about a scary abandoned house in their neighborhood that has a personality of its own and seems to be eating people.,101873.0
15038,The Legend of Hercules,"Action, Adventure, Fantasy","Sci-Fi & Fantasy,Action Sci-Fi & Fantasy,Fantasy,Comic Book and Superhero Films,Adventures,Action & Adventure",English,Movie,1.2,"Romania,Hungary,Czech Republic,Slovakia",1-2 hour,Renny Harlin,"Roxanne McKee, Kellan Lutz, Gaia Weiss, Scott Adkins",4.2,5.0,22.0,1.0,"$18,848,538",10 Jan 2014,"Springing from classical legend, the hero Hercules is born half-human and half-god and chosen by destiny to overthrow the cruel king of Greece.",52655.0
15039,Safe Haven,"Drama, Romance, Thriller","Dramas,Romantic Dramas,Dramas based on a book,Tearjerkers,Romantic Films,Films Based on Books,Romantic Favourites,US Movies","English, Portuguese",Movie,1.9,"Canada,United Kingdom,Spain,Singapore,Sweden,Turkey,United States",1-2 hour,Lasse Hallström,"Jon Kohler, Irene Ziegler, Julianne Hough, Tim Parati",6.7,13.0,34.0,3.0,"$71,349,120",14 Feb 2013,"When a mysterious woman arrives in a small North Carolina town, she begins a new life but remains haunted by a terrifying secret.",104554.0
15041,The Hangover,Comedy,"Comedies,Dark Comedies,Late Night Comedies,US Movies",English,Movie,3.8,"Canada,Switzerland,Japan,Portugal,Belgium,United Kingdom,France,India,Netherlands,Spain,Germany,Sweden,Turkey,Russia",1-2 hour,Todd Phillips,"Justin Bartha, Bradley Cooper, Zach Galifianakis, Ed Helms",7.7,78.0,73.0,13.0,"$277,322,503",05 Jun 2009,"When three friends finally wake up after a wild bachelor party, they cant locate their best friend, whos supposed to be tying the knot.",718251.0
15047,Good Hair,"Documentary, Comedy","Social & Cultural Documentaries,Documentaries",English,Movie,6.1,United States,1-2 hour,Jeff Stilson,"Tanya Crumel, Maya Angelou, Kevin Kirk, Jason Griggers",6.9,95.0,72.0,5.0,"$4,157,223",23 Oct 2009,Chris Rock hops around the world going from beauty salons to science labs to comb through the mystery of African American hair.,5586.0
15048,The Goonies,"Adventure, Comedy, Family","Family Features,Family Comedies,Family Adventures,Action Comedies,Children & Family Films,Comedies,Teen Comedies,Adventures,Action & Adventure","English, Spanish, Cantonese, Italian",Movie,3.6,"France,Belgium,Switzerland,Japan,Italy",1-2 hour,Richard Donner,"Sean Astin, Josh Brolin, Corey Feldman, Jeff Cohen",7.8,76.0,62.0,3.0,"$63,192,596",07 Jun 1985,A group of misfit children discovers a pirate-treasure map and embarks on a journey to find the riches in this beloved 1980s classic.,245566.0
