,Title,Genre,Tags,Languages,Series or Movie,Hidden Gem Score,Country Availability,Runtime,Director,Actors,IMDb Score,Rotten Tomatoes Score,Metacritic Score,Awards Received,Boxoffice,Release Date,Summary,IMDb Votes
13506,Moneyball,"Biography, Drama, Sport","Dramas,Sports Dramas,Dramas based on a book,Dramas based on real life,Sports Films,Movies Based on Real Life,Movies Based on Books,US Movies,Baseball Movies,Baseball Movies",English,Movie,4.3,"Japan,South Korea,Singapore,Hong Kong,United Kingdom,Switzerland,Spain,Thailand,Portugal,Australia,Greece,South Africa,Germany,Argentina,Mexico,India,Iceland,Lithuania,Russia,Poland,Czech Republic,Hungary,Malaysia,Brazil,Israel,Italy,Turkey,Colombia",> 2 hrs,Bennett Miller,"Robin Wright, Brad Pitt, Jonah Hill, Philip Seymour Hoffman",7.6,94.0,87.0,30.0,"$75,605,492",23 Sep 2011,This drama follows the true story of a former jock turned general manager who uses unusual methods to bring the best players to the Oakland As.,371088.0
13508,Burlesque,"Drama, Music, Musical, Romance","Dramas,Romantic Dramas,Showbiz Dramas,Romantic Films,Romantic Favourites,Musicals,Music & Musicals,Campy Movies,Showbiz Musicals",English,Movie,2.4,"Canada,South Korea,Switzerland,Japan,United Kingdom,Iceland,Hong Kong,Thailand,Netherlands,Germany,Israel,Australia,Singapore,Greece,Malaysia,Sweden,Belgium",1-2 hour,Steve Antin,"Cam Gigandet, Christina Aguilera, Eric Dane, Cher",6.4,36.0,47.0,6.0,"$39,440,655",24 Nov 2010,"After leaving Iowa with stars in her eyes, Ali arrives at a Los Angeles burlesque lounge with dreams of taking the stage with her soaring voice.",79193.0
13510,The Grand Budapest Hotel,"Adventure, Comedy, Crime","20th Century Period Pieces,Independent Films,Independent Comedies,Comedies","English, French, German",Movie,4.3,"South Korea,Germany,Switzerland",1-2 hour,Wes Anderson,"Ralph Fiennes, Mathieu Amalric, F. Murray Abraham, Adrien Brody",8.1,92.0,88.0,134.0,"$59,301,324",28 Mar 2014,"Between the world wars, Gustave H, the concierge at a prestigious European hotel, takes a bellboy named Zero as a trusted protégé.",711053.0
13513,Batman Returns,"Action, Crime, Fantasy","Crime Films,Sci-Fi & Fantasy,Action Sci-Fi & Fantasy,Comic Book and Superhero Films,Action & Adventure,Crime Action & Adventure,Sci-Fi Thrillers,Action Thrillers,Blockbuster Action & Adventure",English,Movie,3.6,"Australia,Greece",> 2 hrs,Tim Burton,"Michelle Pfeiffer, Danny DeVito, Christopher Walken, Michael Keaton",7.0,80.0,68.0,2.0,"$162,902,340",19 Jun 1992,"Batman battles three new villains plotting to take over the city, including a corrupt businessman, the hideous Penguin and the mysterious Catwoman.",275205.0
13514,Resident Evil: Afterlife,"Action, Adventure, Horror, Sci-Fi","Horror Films,Sci-Fi & Fantasy,Action Sci-Fi & Fantasy,Action Thrillers,Sci-Fi Thrillers,Zombie Horror Films,Action & Adventure,Sci-Fi Horror Films,Gory Horror Films,Action,Futuristic Sci-Fi","English, Japanese, Spanish",Movie,1.9,Sweden,1-2 hour,Paul W.S. Anderson,"Milla Jovovich, Kim Coates, Shawn Roberts, Ali Larter",5.8,22.0,37.0,2.0,"$60,128,566",10 Sep 2010,"The Undead Apocalypse continues as super-soldier Alice finds her way to a supposed sanctuary in Los Angeles, which may just be a deadly trap.",162207.0
13515,Evan Almighty,"Comedy, Family, Fantasy","Political Comedies,Faith & Spirituality,Family Features,Faith & Spirituality Films,Spoofs & Satires,Family Comedies,Children & Family Films,Films for ages 8 to 10,Comedies,Films for ages 11 to 12",English,Movie,1.9,"Italy,Spain,Portugal,South Africa,Switzerland,United Kingdom,Mexico,Argentina,Brazil,Colombia",1-2 hour,Tom Shadyac,"Morgan Freeman, Lauren Graham, Johnny Simmons, Steve Carell",5.4,23.0,37.0,2.0,"$100,462,298",22 Jun 2007,"God summons narcissistic Evan to build an ark in preparation for a flood. Meanwhile, Evans family interprets his new hobby as a midlife crisis.",139390.0
13516,Arthur Christmas,"Animation, Adventure, Comedy, Family, Fantasy","Dramas,Family Features,Family Feature Animation,Family Comedies,British Films,Family Adventures,Children & Family Films,Films for ages 8 to 10,Comedies,Films for ages 5 to 7,Family Dramas,British Comedies,European Comedies,European Movies",English,Movie,3.9,"Mexico,Russia,Hungary,Lithuania,Canada,Romania,Portugal,South Korea,Belgium,Brazil,Czech Republic,Netherlands,Spain,Iceland,Israel,Australia,Poland,Argentina,Slovakia,Sweden,Turkey,Colombia",1-2 hour,"Barry Cook, Sarah Smith","Hugh Laurie, Bill Nighy, Jim Broadbent, James McAvoy",7.1,92.0,69.0,3.0,"$46,462,469",23 Nov 2011,"At Santa Clauss super-secret toy-making facility, Mr. Claus entrusts his son, Arthur, to carry out an ultra-important Christmas mission.",52991.0
13520,Rise of the Planet of the Apes,"Action, Drama, Sci-Fi, Thriller","Sci-Fi & Fantasy,Action Sci-Fi & Fantasy,Sci-Fi Adventure,Action & Adventure,Adventures,Movies Based on Books,US Movies,Action Movies","English, Sign Languages",Movie,3.8,"South Korea,Switzerland,Germany",1-2 hour,Rupert Wyatt,"Karin Konoval, Richard Ridings, Terry Notary, Andy Serkis",7.6,81.0,68.0,21.0,"$176,760,185",05 Aug 2011,"In this reboot of the popular franchise, scientists are conducting research on intelligent apes, who soon revolt against being used as lab rats.",496902.0
13521,Think Like a Man,"Comedy, Romance","Romantic Comedies,African-American Comedies,Comedies,Romantic Films,Films Based on Books,Romantic Favourites",English,Movie,2.8,"Belgium,Switzerland,South Africa,Canada,Mexico,Brazil,Netherlands,Spain,Italy,Australia,Argentina,Greece,Sweden,Turkey,Colombia,India",> 2 hrs,Tim Story,"Meagan Good, Jerry Ferrara, Regina Hall, Michael Ealy",6.5,54.0,51.0,4.0,"$91,547,205",20 Apr 2012,"Armed with advice from a best-selling book, four women set out to solve their relationship problems -- until the men in their lives get wise.",44239.0
13524,"South Park: Bigger, Longer and Uncut","Animation, Comedy, Fantasy, Musical","Adult Animation,Comedies,Late Night Comedies,Musicals,Spoofs & Satires,Dark Comedies,Political Comedies,Satanic Stories,Music & Musicals",English,Movie,3.8,"France,Belgium,Switzerland,Canada,Australia",1-2 hour,Trey Parker,"Trey Parker, Matt Stone, Mary Kay Bergman, Isaac Hayes",7.7,80.0,73.0,7.0,"$52,037,603",30 Jun 1999,"The potty-mouthed kids of South Park move to the big screen, with a plot involving the corruption of American youth by their Canadian neighbors.",192358.0
13525,Argo,"Biography, Drama, Thriller","Dramas,Thrillers,Political Dramas,Dramas based on real life,Films Based on Real Life,Spy Thrillers,Political Thrillers,US Movies","English, Persian, German, Arabic",Movie,4.3,"Romania,France,Canada,Switzerland,Belgium,Spain,Portugal,Australia,Poland,Czech Republic,Hungary,Slovakia,Lithuania,Greece,South Africa",> 2 hrs,Ben Affleck,"Ben Affleck, Alan Arkin, Bryan Cranston, John Goodman",7.7,96.0,86.0,95.0,"$136,025,503",12 Oct 2012,"In 1979, six Americans take shelter from Iranian militants in the Canadian embassy, prompting the CIA to concoct an elaborate plot to rescue them.",573638.0
13526,Love and Other Drugs,"Comedy, Drama, Romance","Dramas,Romantic Dramas,Steamy Romantic Films,Romantic Comedies,Dramas based on a book,Comedies,Romantic Films,Dramas based on contemporary literature,Movies Based on Books,Romantic Favorites",English,Movie,2.9,Italy,1-2 hour,Edward Zwick,"Anne Hathaway, Jake Gyllenhaal, Oliver Platt, Hank Azaria",6.7,49.0,55.0,1.0,"$32,367,005",24 Nov 2010,Pharmaceutical representative Jamie becomes a player in the big game of male-performance-enhancement drug sales -- and finds unexpected romance.,181945.0
13527,Jack and Jill,Comedy,"Slapstick Comedies,Comedies,Late Night Comedies,Laugh-Out-Loud Comedies,US Movies",English,Movie,1.0,"Hong Kong,Belgium,Romania,Hungary,Lithuania,South Africa,Brazil,Czech Republic,Germany,Israel,Italy,Poland,Argentina,Greece,Turkey,Mexico,Slovakia,Colombia,Portugal",1-2 hour,Dennis Dugan,"Adam Sandler, Katie Holmes, Al Pacino, Elodie Tougne",3.3,3.0,23.0,14.0,"$74,158,157",11 Nov 2011,"Adam Sandler pulls double duty as family man Jack and his overbearing twin sister, Jill, who settles in over the holidays for an extended stay.",78453.0
13528,The Amazing Spider-Man,"Action, Adventure, Sci-Fi","Sci-Fi & Fantasy,Action Sci-Fi & Fantasy,Comic Book and Superhero Films,Action & Adventure,Sci-Fi,Action Movies",English,Movie,3.5,"South Korea,Japan,Belgium,South Africa,France,Canada,Switzerland,Brazil,Netherlands,Spain,Iceland,Israel,Argentina,Mexico,Greece,Australia,India,Russia,Colombia,Turkey,Portugal",> 2 hrs,Marc Webb,"Emma Stone, Andrew Garfield, Denis Leary, Rhys Ifans",6.9,72.0,66.0,2.0,"$262,030,663",03 Jul 2012,"In this reboot of the superhero franchise, high school lad Peter Parker learns to wield his newfound powers while facing down arch-villain The Lizard.",559478.0
13529,A Haunted House,"Comedy, Fantasy, Horror","Spoofs & Satires,Comedies,Late Night Comedies,Horror Movies,Horror Comedies,Laugh-Out-Loud Comedies,Supernatural Horror Movies","English, Spanish",Movie,1.3,"Sweden,United Kingdom,Italy",1-2 hour,Michael Tiddes,"Essence Atkins, Marlene Forte, David Koechner, Marlon Wayans",5.0,9.0,20.0,1.0,"$40,041,683",11 Jan 2013,"In this spoof of horror films like Paranormal Activity, an immature guy freaks out when his girlfriend moves in and shes possessed by an evil spirit.",43989.0
13530,Fast and Furious,"Action, Thriller","Action Thrillers,Action & Adventure,Crime Action & Adventure,Sports Films,Crime Films,Blockbuster Action & Adventure,Action,Crime Action,Police Action & Adventure,Police Movies,US Movies","English, Spanish",Movie,2.3,"Japan,South Korea,Romania,Russia,Hong Kong,Hungary,Lithuania,Portugal,Belgium,France,Iceland,South Africa,Switzerland,Thailand,Brazil,Czech Republic,Netherlands,Spain,Germany,Israel,Italy,Australia,Poland,Singapore,India,Argentina,Greece,Malaysia,Slovakia,Sweden,Turkey,Mexico,Colombia",1-2 hour,Justin Lin,"Michelle Rodriguez, Paul Walker, Jordana Brewster, Vin Diesel",6.6,28.0,46.0,6.0,"$155,064,265",03 Apr 2009,Fugitive Dom Toretto teams with nemesis Brian OConner to take on a common enemy in this full-throttle installment of the speed-racing franchise.,263455.0
13531,The Fast and the Furious,"Action, Crime, Thriller","Action Thrillers,Action & Adventure,Crime Action & Adventure,Sports Films,Crime Films,Blockbuster Action & Adventure,Action,Crime Action,Police Action & Adventure,Police Movies","English, Spanish",Movie,3.0,"Japan,Romania,South Korea,Russia,Hungary,Lithuania,Portugal,Belgium,France,Iceland,South Africa,Switzerland,Hong Kong,Thailand,Brazil,Czech Republic,Netherlands,Spain,Germany,Israel,Italy,Australia,Poland,Singapore,India,Argentina,Greece,Malaysia,Slovakia,Sweden,Turkey,Mexico,Colombia",1-2 hour,Rob Cohen,"Michelle Rodriguez, Vin Diesel, Jordana Brewster, Paul Walker",6.8,53.0,58.0,11.0,"$144,533,925",22 Jun 2001,An undercover cop infiltrates a Los Angeles street-racing crew suspected of big-rig hijackings and unexpectedly falls for the gang leaders sister.,348745.0
13532,Transformers: Age of Extinction,"Action, Adventure, Sci-Fi","Sci-Fi & Fantasy,Action Sci-Fi & Fantasy,Action Thrillers,Sci-Fi Thrillers,Alien Sci-Fi,Action & Adventure,Adventures,Sci-Fi Adventure,Blockbuster Action & Adventure,US Movies,Action,Sci-Fi","Chinese, English",Movie,1.7,"Japan,France,Belgium,Hong Kong,South Africa,Switzerland,Thailand,Brazil,Netherlands,South Korea,Portugal,Italy,Singapore,India,Argentina,Malaysia,Turkey,Mexico,Russia,Colombia",> 2 hrs,Michael Bay,"Stanley Tucci, Nicola Peltz, Kelsey Grammer, Mark Wahlberg",5.6,17.0,32.0,5.0,"$245,439,076",27 Jun 2014,"In the fourth CGI-fueled Transformers actioner, Cade Yeager is a father trying to protect his daughter, Tessa, from the perils of the outside world.",298358.0
13534,Seed of Chucky,"Comedy, Fantasy, Horror, Thriller","Horror Films,Slasher and Serial Killer Films,Supernatural Horror Films,Cult Horror Films,US Movies,Cult Films","English, Japanese",Movie,2.1,"Switzerland,Germany,Sweden,United Kingdom",1-2 hour,Don Mancini,"Redman, Jennifer Tilly, Brad Dourif, Billy Boyd",4.8,34.0,46.0,1.0,"$17,083,732",12 Nov 2004,"Murderous doll Chucky gets help from his son, Glen, a doll as vengeful as his father, and Tiffany, Glens wife who also has a thirst for blood.",38957.0
13535,The Mummy: Tomb of the Dragon Emperor,"Action, Adventure, Fantasy, Horror, War","Action Thrillers,Action & Adventure,Adventures,Monster Films,Sci-Fi & Fantasy,Action Sci-Fi & Fantasy,Fantasy,Blockbuster Action & Adventure,Action,US Movies","English, Mandarin, Sanskrit",Movie,1.6,Canada,1-2 hour,Rob Cohen,"Jet Li, John Hannah, Maria Bello, Brendan Fraser",5.2,12.0,31.0,2.0,"$102,491,776",01 Aug 2008,"The third installment of the Mummy franchise takes Rick and his family to China to face a 2,000-year-old emperor whos returned from the dead.",151157.0
13536,Spider-Man 3,"Action, Adventure, Sci-Fi","Sci-Fi & Fantasy,Action Sci-Fi & Fantasy,Comic Book and Superhero Films,Action & Adventure,Adventures,Action,Sci-Fi Adventure,US Movies","English, French",Movie,3.1,"South Korea,Japan,Hong Kong,Portugal,South Africa,Switzerland,Belgium,Thailand,France,Spain,Australia,Singapore,Malaysia,Turkey,Italy",> 2 hrs,Sam Raimi,"Thomas Haden Church, Tobey Maguire, Kirsten Dunst, James Franco",6.2,63.0,59.0,4.0,"$336,530,303",04 May 2007,The seemingly invincible Spider-Man goes up against an all-new crop of villains in the third installment of the blockbuster adventure series.,500606.0
13537,Men in Black 3,"Action, Adventure, Comedy, Sci-Fi","Sci-Fi & Fantasy,Action Sci-Fi & Fantasy,Alien Sci-Fi,Action Comedies,Comedies,Action & Adventure,Crime Comedies,Crime Movies,Crime Action & Adventure,Blockbuster Action & Adventure","English, Ukrainian",Movie,3.2,"Japan,Romania,Lithuania,Hungary,Czech Republic,Poland",1-2 hour,Barry Sonnenfeld,"Will Smith, Tommy Lee Jones, Josh Brolin, Jemaine Clement",6.8,68.0,58.0,1.0,"$179,020,854",25 May 2012,"When Earth is threatened by an alien attack, Agent J travels back in time to join forces with a much-younger Agent K and change the course of history.",335911.0
13541,Two Weeks Notice,"Comedy, Romance","Romantic Comedies,Comedies,Romantic Films,Romantic Favourites,US Movies",English,Movie,2.4,"Romania,Switzerland,Hungary,Belgium,France,Czech Republic,Portugal,Italy,Poland,Slovakia,Sweden,United States",1-2 hour,Marc Lawrence,"Hugh Grant, Sandra Bullock, Dana Ivey, Alicia Witt",6.1,42.0,42.0,2.0,"$93,354,851",20 Dec 2002,"A millionaire real estate developer doesnt make a move without his right-hand woman. But after a year of calling the shots, shes calling it quits.",107935.0
13543,Rio 2,"Animation, Adventure, Comedy, Family, Fantasy, Musical","Family Features,Animal Tales,Family Feature Animation,Family Comedies,Family Adventures,Children & Family Films,Films for ages 8 to 10,Comedies,Films for ages 11 to 12,Films for ages 5 to 7,US Movies","English, Portuguese",Movie,2.7,"South Korea,Hong Kong,Thailand,Singapore,Malaysia",1-2 hour,Carlos Saldanha,"Kristin Chenoweth, Jake T. Austin, Carlinhos Brown, Jemaine Clement",6.3,48.0,49.0,2.0,"$131,538,435",11 Apr 2014,"Blu, Jewel and their three youngsters visit the Amazon, where they find adventure, friends old and new, and even a little danger.",80549.0
13544,Sin City: A Dame to Kill For,"Action, Crime, Thriller","Action Thrillers,Film Noir,Action & Adventure,Crime Action & Adventure,Crime Movies,Crime Action,US Movies",English,Movie,2.6,"Hong Kong,South Africa,Italy",1-2 hour,"Robert Rodriguez, Frank Miller","Mickey Rourke, Joseph Gordon-Levitt, Josh Brolin, Jessica Alba",6.5,43.0,46.0,4.0,"$13,757,804",22 Aug 2014,"Cornering the market on blackmail, Dwight McCarthy matches rich men with prostitutes before taking their photos and selling the pics to their wives.",153170.0
13545,2 Fast 2 Furious,"Action, Crime, Thriller","Action Thrillers,Action & Adventure,Crime Action & Adventure,Gangster Films,Crime Films,Blockbuster Action & Adventure,Action,Crime Action,Police Action & Adventure,Police Movies","English, Spanish",Movie,2.2,"Japan,South Korea,Romania,Russia,Hungary,Lithuania,Portugal,Belgium,France,Iceland,South Africa,Switzerland,Brazil,Czech Republic,Netherlands,Spain,Germany,Israel,Italy,Australia,Poland,India,Argentina,Greece,Slovakia,Sweden,Turkey,Mexico,Colombia",1-2 hour,John Singleton,"Eva Mendes, Cole Hauser, Tyrese Gibson, Paul Walker",5.9,36.0,38.0,4.0,"$127,154,901",06 Jun 2003,Its a major double-cross when former cop Brian teams up with his ex-con buddy to transport a shipment of dirty money for a shady importer-exporter.,251726.0
13546,The First Wives Club,Comedy,"Comedies,Movies Based on Books,Comedy Blockbusters,US Movies","English, Italian, French",Movie,2.9,"Russia,Thailand,Hong Kong,Italy,Australia,Singapore,Malaysia",1-2 hour,Hugh Wilson,"Goldie Hawn, Diane Keaton, Maggie Smith, Bette Midler",6.4,50.0,58.0,3.0,"$105,489,203",20 Sep 1996,"Following a friends suicide after her husband dumps her for a younger model, three women plot payback against their two-timing exes.",43829.0
13547,Star Trek: First Contact,"Action, Adventure, Drama, Sci-Fi, Thriller","Alien Sci-Fi,Sci-Fi & Fantasy,Sci-Fi Adventure,Action & Adventure,Adventures,Action Sci-Fi & Fantasy",English,Movie,4.0,Italy,1-2 hour,Jonathan Frakes,"Patrick Stewart, Brent Spiner, LeVar Burton, Jonathan Frakes",7.6,92.0,71.0,8.0,"$92,027,888",22 Nov 1996,Capt. Jean-Luc Picard seeks revenge on the Borg after they time travel to Earths past to prevent the first contact between humans and Vulcans.,118196.0
13548,Oceans Thirteen,"Action, Crime, Thriller","Action Comedies,Comedies,Action & Adventure,Crime Action & Adventure,Action Thrillers,Action Movies,Crime Comedies,Crime Films,Heist Films,Blockbuster Action & Adventure","English, Mandarin, Spanish, French",Movie,3.3,"Belgium,France,Portugal,Canada,Switzerland,Brazil,Netherlands,Spain,Germany,Argentina,Sweden,Turkey,Mexico,Colombia,Thailand,Singapore,Malaysia,Hong Kong,Japan",> 2 hrs,Steven Soderbergh,"Brad Pitt, Michael Mantell, Matt Damon, George Clooney",6.9,69.0,62.0,1.0,"$117,154,724",08 Jun 2007,This entry in the all-star caper franchise finds debonair con man Danny Ocean and his gang taking revenge on a double-crossing Las Vegas kingpin.,321827.0
13549,Assault on Precinct 13,"Action, Crime, Drama, Thriller","Action Thrillers,Action & Adventure,Crime Action & Adventure","English, Serbian",Movie,2.9,Israel,1-2 hour,Jean-François Richet,"Gabriel Byrne, Ethan Hawke, Maria Bello, Laurence Fishburne",6.3,59.0,54.0,1.0,"$20,040,895",19 Jan 2005,A Detroit detective takes on an army of deadly criminals who are openly hunting down a notorious drug kingpin in a battle for street sovereignty.,73387.0
13550,12 Years a Slave,"Biography, Drama, History","Dramas,Period Pieces,Dramas based on a book,Biographical Dramas,Tearjerkers,Social Issue Dramas,Dramas based on real life,Films Based on Real Life,Films Based on Books,US Movies,Historical Dramas",English,Movie,4.5,"Romania,Hong Kong,United Kingdom,Japan,Hungary,Czech Republic,Slovakia",> 2 hrs,Steve McQueen,"Dickie Gravois, Bryan Batt, Dwight Henry, Chiwetel Ejiofor",8.1,95.0,96.0,242.0,"$56,671,993",08 Nov 2013,A freeborn black man is abducted from New York and sold into slavery in this historical drama based on the autobiography of Solomon Northup.,642352.0
13561,Shaft,"Action, Crime, Thriller","Action Thrillers,Action & Adventure,Crime Action & Adventure,Police Action & Adventure,Police Movies,Crime Films,US Movies","English, German, Spanish",Movie,2.9,"Hong Kong,Thailand,Brazil,Singapore,Argentina,Malaysia,Mexico,Colombia,Poland,Greece,Czech Republic,Hungary,Slovakia,Romania,Turkey",1-2 hour,John Singleton,"Samuel L. Jackson, Christian Bale, Vanessa Williams, Jeffrey Wright",5.9,67.0,50.0,1.0,"$70,334,258",16 Jun 2000,"New York police detective John Shaft arrests Walter Wade Jr. for murder, but he jumps bail to Switzerland, returning to face trial two years later.",73632.0
13563,The Score,"Action, Crime, Drama, Thriller","Dramas,Action Thrillers,Action & Adventure,Crime Action & Adventure,Crime Dramas,Crime Films,Thrillers,Crime Thrillers,Heist Films","English, French",Movie,3.5,"Lithuania,Russia,South Korea,Japan,Germany",> 2 hrs,Frank Oz,"Marlon Brando, Angela Bassett, Robert De Niro, Edward Norton",6.8,73.0,71.0,1.0,"$71,107,711",13 Jul 2001,"Ready-to-retire safecracker Nick, flamboyant fence Max and talented but volatile thief Jackie team up to rob the Montreal Customs House.",121299.0
13564,The Sapphires,"Biography, Comedy, Drama, Music, Romance","Independent Dramas,Dramas,20th Century Period Pieces,Independent Films,Showbiz Dramas,Independent Comedies,Australian Films,Comedies,Social Issue Dramas,Dramas based on real life,Movies Based on Real Life,Music,Music & Musicals","English, Aboriginal",Movie,3.8,"United States,Australia",1-2 hour,Wayne Blair,"Kylie Belling, Nioka Brennan, Tanika Lonesborough, Lynette Narkle",7.0,91.0,67.0,27.0,"$2,450,867",09 Aug 2012,The spirit and vitality of 1960s soul music are at the core of this film about a real-life Australian aborigine singing group and their bumpy career.,13471.0
13570,Red Obsession,"Documentary, History, News","Food & Travel TV,Social & Cultural Documentaries,Australian Films,Documentaries",English,Movie,8.1,Australia,1-2 hour,"David Roach, Warwick Ross","Sara Eisen, Russell Crowe, Debra Meiburg",6.7,86.0,68.0,2.0,"$13,199",06 Sep 2013,Russell Crowe narrates this sobering study of how the tastes of Chinas nouveau riche are driving up wine prices in Frances Bordeaux region.,1258.0
13572,Marathon Man,"Crime, Thriller","Dramas,Action Thrillers,Dramas based on a book,Action & Adventure,Crime Action & Adventure,Dramas based on contemporary literature,Crime Dramas,Crime Films,Films Based on Books,Classic Dramas,Classic Films,Classic Action & Adventure,US Movies,Psychological Thrillers,Thriller Movies,Crime Thrillers,Classic Thrillers","English, French, German, Spanish, Yiddish",Movie,3.6,Hong Kong,> 2 hrs,John Schlesinger,"Dustin Hoffman, Roy Scheider, William Devane, Laurence Olivier",7.4,81.0,64.0,4.0,"$21,709,020",08 Oct 1976,"When his CIA agent brother is killed, a student gets trapped in a deadly game with a Nazi fugitive with a unique penchant for torture.",58369.0
13574,The Piano Teacher,Drama,"Independent Dramas,Dramas,Independent Films,International Dramas,International Movies,Dramas based on a book","French, German",Movie,3.8,France,> 2 hrs,Michael Haneke,"Susanne Lothar, Benoît Magimel, Isabelle Huppert, Annie Girardot",7.5,73.0,79.0,18.0,"$1,012,069",05 Sep 2001,"An emotionally repressed piano teacher begins a tempestuous affair with an attractive student, turning her dark sexual fantasies into obsession.",56639.0
13578,The Kite Runner,Drama,"Dramas,Dramas based on a book,Social Issue Dramas,Dramas based on contemporary literature,Movies Based on Books,US Movies","Dari, English, Pushto, Russian, Urdu",Movie,3.4,India,> 2 hrs,Marc Forster,"Sayed Jafar Masihullah Gharibzada, Shaun Toub, Atossa Leoni, Khalid Abdalla",7.6,65.0,61.0,6.0,"$15,800,078",11 Jan 2008,A privileged Afghan man living in the United States returns to his war-ravaged homeland to try to repay a debt to a loyal childhood friend.,77445.0
13582,The Immigrant,"Drama, Romance","Dramas,20th Century Period Pieces,Romantic Dramas,Romantic Favourites,Romantic Films","English, Polish, Latin",Movie,3.8,Poland,1-2 hour,James Gray,"Dagmara Dominczyk, Joaquin Phoenix, Marion Cotillard, Jeremy Renner",6.6,85.0,77.0,15.0,"$2,025,328",23 May 2014,A Polish immigrant in New York who must provide for her ill sister soon falls under the thumb of a charming thug who forces her into prostitution.,29956.0
13583,Trollhunter,"Drama, Fantasy, Horror, Sci-Fi, Thriller","Horror Films,Scandinavian Films,Sci-Fi & Fantasy,Action Sci-Fi & Fantasy,Creature Features,Fantasy,International Movies,International Sci-Fi & Fantasy,International Action & Adventure,Teen Screams,Monster Films,Action & Adventure,Norwegian Films","Norwegian, English",Movie,3.5,"Switzerland,Netherlands,Spain,Italy",1-2 hour,André Øvredal,"Johanna Mørck, Otto Jespersen, Glenn Erland Tosterud, Tomas Alf Larsen",7.0,81.0,61.0,12.0,"$253,444",29 Oct 2010,Three students enter the Norwegian woods to film a documentary on a bear poacher who claims that he really tracks trolls for the Norwegian government.,69062.0
13596,Star Trek: Generations,"Action, Adventure, Mystery, Sci-Fi, Thriller","Alien Sci-Fi,Sci-Fi & Fantasy,Action Sci-Fi & Fantasy,Sci-Fi Adventure,Action & Adventure,Adventures","English, Klingon",Movie,2.8,Italy,1-2 hour,David Carson,"Patrick Stewart, Brent Spiner, LeVar Burton, Jonathan Frakes",6.6,47.0,55.0,2.0,"$75,671,125",18 Nov 1994,"Capt. Jean-Luc Picard commands the newest incarnation of the U.S.S. Enterprise, investigating a disaster at an outlying settlement.",76803.0
13604,The Firm,"Drama, Mystery, Thriller","Dramas,Dramas based on a book,Thrillers,Crime Thrillers,Dramas based on contemporary literature,Mysteries,Crime Dramas,Crime Movies,Movies Based on Books,Courtroom Dramas,US Movies",English,Movie,3.3,"Switzerland,South Africa,Iceland,India,Greece,Sweden,Hong Kong,Thailand,Singapore,Malaysia",> 2 hrs,Sydney Pollack,"Jeanne Tripplehorn, Hal Holbrook, Tom Cruise, Gene Hackman",6.8,75.0,58.0,3.0,"$158,348,367",30 Jun 1993,"When a Harvard Law School grad joins a prestigious firm, he ignores the warning of his wife, who fears the lucrative deal sounds too good to be true.",120893.0
13607,The Last Sentence,"Biography, Drama","Dramas,Scandinavian Films,International Dramas,International Movies,Political Dramas,Dramas based on a book,Biographical Dramas,Dramas based on real life",Swedish,Movie,7.9,"Lithuania,Poland,France,Iceland,Italy,Spain,Greece,Czech Republic,Belgium,Portugal,Hungary,Slovakia,Netherlands,Germany,Romania",> 2 hrs,Jan Troell,"Björn Granath, Pernilla August, Jesper Christensen, Ulla Skoog",6.0,74.0,60.0,3.0,"$62,506",20 Jun 2014,"As the Nazis near the Swedish border, journalist Torgny Segerstedt defies his nations complacency and speaks out against the growing menace.",661.0
13609,The Disappearance of Eleanor Rigby: Them,"Drama, Romance",Dramas,"English, French",Movie,3.1,South Korea,> 2 hrs,Ned Benson,"Viola Davis, Jessica Chastain, Nina Arianda, James McAvoy",6.3,65.0,57.0,3.0,"$587,774",12 Sep 2014,"Told from two perspectives, this engrossing drama depicts the dissolving union of Eleanor and Conor, who begin drifting apart after a tragic event.",11803.0
13610,The Debt,"Drama, Thriller","20th Century Period Pieces,Thrillers,Spy Thrillers","English, German, Russian",Movie,3.5,"Lithuania,Poland,Spain,Greece,Czech Republic,Belgium,Portugal,Hungary,Slovakia,Netherlands,Thailand,Singapore,Romania,United Kingdom,Malaysia,Hong Kong,Brazil,India",1-2 hour,John Madden,"Tom Wilkinson, Ciarán Hinds, Helen Mirren, Romi Aboulafia",6.8,77.0,65.0,13.0,"$31,177,548",31 Aug 2011,A former Mossad intelligence agent is forced to relive her unsuccessful pursuit of a Nazi war criminal when the fugitive reemerges 30 years later.,64154.0
13613,Shall We Dance?,"Comedy, Drama, Music, Romance","Japanese Films,Dramas,Romantic Dramas,International Dramas,Romantic Favourites,International Movies,Romantic Comedies,International Comedies,Comedies,Romantic Films",Japanese,Movie,3.9,"Japan,South Korea",1-2 hour,Masayuki Suo,"Tamiyo Kusakari, Eri Watanabe, Kôji Yakusho, Naoto Takenaka",7.6,91.0,68.0,55.0,"$9,499,091",11 Jul 1997,"During his daily commute, a dejected Tokyo office worker sees a stunning woman in a dance studio and begins taking lessons from her.",10496.0
